Company,Ticker,Watchlist Status,Watchlist Status_Encoded,Suspension Status,Suspension Status_Encoded,Sector,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),GTI Score,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,Net Profit %,Price/CF,1-yr %Rev. Chg.,Debt ($M),Debt/Equity,Mkt Cap ($M) Category,Tot. Rev ($M) Category,Price/CF Category,Debt ($M) Category,Debt/Equity Category,Price/CF_Risk_Score,Debt ($M)_Risk_Score,Debt/Equity_Risk_Score,Mkt Cap ($M)_Risk_Score,Tot. Rev ($M)_Risk_Score,CountLowRisk,CountMediumRisk,CountHighRisk,Insolvency Risk (0-2)
17LIVE GROUP,LVR,No,0,No,0,Software & IT Services,1.13,-216.82,200.43,172.504,0,-23.13,-35.06,-73.67,-72.32,-99.21,0,2.124041752,2.470139201,495.09,High,Medium,Low,High,High,0,2,2,0,1,2,1,2,1
5E Resources,NLC,No,0,No,0,Industrial & Commercial Services,0.3,17.85,44.242,19.898,88,27.66,13.21,30.43,15.38,24.45,7.68,5.31,0.446860449,19.77,Medium,Low,High,Medium,Medium,2,1,1,1,2,0,3,2,1
8Telecom,AZG,No,0,Yes,1,Technology Equipment,0.069,0,8.012,0.802,57,0,0,0,0,-65.84,0,-26.76,0,0,Low,Low,Low,Low,Low,0,0,0,2,2,3,0,2,2
9R,1Y1,No,0,No,0,Industrial Goods,0.041,-39.13,44.282,6.576,73,-2.38,-16.33,-10.87,-21.15,-81.37,0,0.067325088,0.423196784,18.74,Medium,Low,Low,Medium,Medium,0,1,1,1,2,1,3,1,1
ABR,533,No,0,No,0,Food & Beverages,0.465,3.66,93.463,116.854,63,0,1.09,3.33,1.09,3.06,4.33,14.86,0.55433701,51.81,Medium,Medium,Medium,Medium,Medium,1,1,1,1,1,0,5,0,1
Abundance Intl,541,No,0,No,0,Industrial & Commercial Services,0.016,-0.98,20.507,840.476,63,-15.79,-36,-33.33,-40.74,-0.06,40.13,9.5,0.66318818,13.6,Low,High,High,Medium,Low,2,1,0,2,0,2,1,2,1
Abundante,570,No,0,No,0,Mineral Resources,0.21,6.12,21.901,7.933,54,0,0,0,5,13.45,12.53,-5.12,0,0,Low,Low,High,Low,Low,2,0,0,2,2,2,0,3,2
Accrelist Ltd,QZG,No,0,No,0,Technology Equipment,0.048,50.73,14.985,34.966,57,9.09,41.18,-9.43,-17.24,18.84,1.56,149.82,6.694694695,100.32,Low,Low,Medium,High,High,1,2,2,2,2,0,1,4,2
Acesian Partners,5FW,No,0,No,0,Industrial & Commercial Services,0.044,39.26,21.934,15.789,67,-6.38,4.76,0,-29.03,47.86,2.65,-58.63,0.16412875,3.6,Low,Low,Medium,Medium,Low,1,1,0,2,2,1,2,2,1
Acma,AYV,No,0,No,0,Industrial Goods,0.026,-97.49,1.102,12.5,62,-7.14,-13.33,-16.13,0,-16.42,0,-77.09,241.615245,266.26,Low,Low,Low,High,High,0,2,2,2,2,1,0,4,2
AcroMeta,43F,No,0,No,0,Industrial & Commercial Services,0.022,177.49,6.934,69.166,63,-21.43,-26.67,-43.59,-43.59,5.45,1.43,12.62,28.25209115,195.9,Low,Medium,Medium,High,High,1,2,2,2,1,0,2,3,2
Addvalue Tech,A31,Yes,1,No,0,Technology Equipment,0.008,-39.81,25.936,13.089,58,-11.11,-11.11,-27.27,-27.27,-27.06,0,54.08,1.22840839,31.86,Low,Low,Low,High,Medium,0,2,1,2,2,1,1,3,2
Advanced,BLZ,No,0,No,0,Energy - Fossil Fuels,0.123,-10.2,12.733,8.372,92,-3.15,-8.89,-49.8,53.75,-53.07,0,-36.93,0.643995916,8.2,Low,Low,Low,Medium,Low,0,1,0,2,2,2,1,2,1
Advanced Systems,5TY,No,0,No,0,Technology Equipment,0.001,0,22.324,12.928,56,0,0,0,0,-32.88,0,-14.05,0,0,Low,Low,Low,Low,Low,0,0,0,2,2,3,0,2,1
Advancer Global,43Q,No,0,No,0,Industrial & Commercial Services,0.11,-11.54,27.76,65.081,78,14.58,-5.17,11.11,37.5,-6.48,0,3.13,0.314841499,8.74,Medium,Medium,Low,Medium,Low,0,1,0,1,1,2,3,0,1
